"",,,Social,Positive,Negative,GDP per,Healthy life
Country,Region,Ladder,support Freedom Corruption Donation Generosity,affect,affect,capita,expectancy
Italy,0,6.712,0.920,0.743,0.931,0.507,0.109,0.697,0.299,28482.3,72.683
Jamaica,6,6.208,0.909,0.738,0.950,0.283,-0.017,0.788,0.201,7224.37,64.743
Japan,5,6.367,0.933,0.829,0.762,0.292,-0.112,0.735,0.182,30506.8,74.735
Jordan,8,5.942,0.880,0.646,0.667,0.182,-0.086,0.689,0.240,4340.34,60.899
Kazakhstan,2,5.597,0.868,0.755,0.870,0.065,-0.246,0.660,0.182,9113.84,55.855
Kenya,9,4.278,0.871,0.689,0.830,0.190,0.007,0.714,0.180,1370.87,44.204
Kosovo,1,5.104,0.848,0.381,0.896,0.409,,0.655,0.237,,58.187
Kuwait,8,6.076,0.919,0.769,,0.194,-0.242,0.846,0.182,48782.6,66.921
Kyrgyzstan,2,4.670,0.840,0.680,0.902,0.091,-0.099,0.655,0.145,1738.56,54.939
Laos,3,5.220,0.798,0.896,,0.678,0.479,0.873,0.149,1754.47,46.793
Latvia,1,4.688,0.860,0.670,0.941,0.150,-0.196,0.663,0.241,13878.3,62.932
Lebanon,8,5.071,0.825,0.687,0.924,0.381,0.060,0.566,0.306,9612.4,60.264
Liberia,9,3.701,0.594,0.790,0.773,0.257,0.170,0.613,0.435,364.545,35.500
Lithuania,1,5.882,0.936,0.578,0.967,0.061,-0.290,0.606,0.266,14799.7,63.570
Macedonia,1,4.494,0.811,0.439,0.866,0.380,0.071,0.603,0.251,8248.3,62.315
Madagascar,9,3.980,0.711,,,0.116,-0.033,0.702,0.161,868.675,48.073
Malawi,9,4.361,0.577,0.839,0.684,0.308,0.180,0.699,0.199,642.19,34.665
Malaysia,3,6.137,0.869,0.841,0.777,0.472,0.134,0.764,0.198,12230.8,63.417
Mali,9,4.014,0.761,0.555,0.763,0.098,-0.052,0.767,0.209,884.554,37.198
Mauritania,9,4.678,0.782,0.626,0.588,0.191,-0.020,0.769,0.158,2077.26,44.444
Mexico,6,6.553,0.891,0.742,0.757,0.235,-0.105,0.818,0.234,12308.8,65.285
Moldova,2,4.939,0.809,0.600,0.927,0.096,-0.130,0.595,0.280,2421.79,59.419
Mongolia,5,4.609,0.881,0.781,0.927,0.322,0.083,0.571,0.203,3062.29,55.500
Montenegro,1,5.196,0.832,0.512,0.782,0.187,-0.129,0.579,0.340,8942.12,62.214
Morocco,8,5.032,,0.699,0.935,,,0.624,0.249,3592.31,59.746
